normative_name,x,y,z,RSR_lowFreq,RSR_highFreq
p01_GPH_6_7,-0.0246514519480847,-0.0502147048074223,-0.0086725137186389,0.002146789669277,-0.0055957388997377
p01_GPH_7_8,-0.0279451976900993,-0.0509409216162286,-0.0077714764441619,0.0067179822803313,-0.0097177288400051
p01_GPH_8_9,-0.0311947965744853,-0.0516429345254162,-0.0068540509454502,0.0052040524439309,0.0030462529463222
p01_GPH_9_10,-0.0345183456468509,-0.0522234058193615,-0.0059251503239103,0.0123031756934713,-0.0109550868094949
p01_GPH_10_11,-0.0379015638566612,-0.0529366657017329,-0.0048962538008377,-0.0073698695326776,0.0005625208850597
p01_GPH_11_12,-0.0412874910978636,-0.053724188574754,-0.0039315546485744,-0.0081526725689615,0.0019083512093139
p01_GPH_12_13,-0.0446697335085601,-0.054434738016344,-0.0030707911593625,-0.001542908977037,-0.0049168152205299
p01_GPH_13_14,-0.0480453631469741,-0.0551866313997755,-0.0021981644870865,0.0013323968082167,-0.0037442687894922
p01_GPH_14_15,-0.0513820083022949,-0.0558861847764124,-0.0012244312949357,0.006497058337355,-0.0043513565906021
p01_H_1_2,-0.001864817930234,-0.0323053409566539,0.0087825893519892,0.0028646122953726,-0.0083883921735477
p01_H_2_3,-0.0053063725495632,-0.0332397675387435,0.008687289857842,0.0721354589844121,0.0037863622745575
p01_H_8_9,-0.0315609717184334,-0.0401202774460213,0.0088701123153947,0.0407187229500682,-0.0022453317155125
p01_H_9_10,-0.0349295067510032,-0.0409367593769113,0.0088302924166702,0.0132202768101883,0.0006577573104213
p01_H_10_11,-0.0409553478172409,-0.0423816285755623,0.0089110537952927,0.0226787730985379,0.0087195480718956
p01_H_11_12,-0.047035238329725,-0.0439634100839929,0.0089110151429118,0.0082347825115654,0.0065670463421951
p01_H_12_13,-0.0505682350110109,-0.0449083767244797,0.0087406668317695,0.01116079237905,0.0012002023760771
p01_H_13_14,-0.0540449926782452,-0.0459077682448417,0.0087378133533858,0.0210002879753148,-0.0063323381683146
p01_Ia_1_2,-0.042321413475422,-0.0055654268231572,-0.0046874364155241,0.0125471501515865,-0.0041760439683094
