env_idx,final_point,sfreq,stim_duration,stim_names,suj,id,phon,sti,nb_phon,nb_syll,syll*phon,all_id
63,1791,256,6.66,3_Hz_mid_43929,s3,3,m,43929,25,10,1.2000000000000002,32
119,896,256,3.34,6_Hz_low_195033,s3,6,l,195033,20,10,3.0,61
267,597,256,2.22,9_Hz_mid_277953,s3,9,m,277953,25,10,3.6,92
235,484,256,1.78,9_Hz_low_283051,s3,9,l,283051,16,8,4.5,91
255,597,256,2.22,9_Hz_mid_174183,s3,9,m,174183,25,10,3.6,92
254,598,256,2.22,9_Hz_mid_173038,s3,9,m,173038,25,10,3.6,92
303,483,256,1.78,9_Hz_hig_43190,s3,9,h,43190,24,8,3.0,93
176,726,256,2.67,6_Hz_hig_114844,s3,6,h,114844,24,8,2.0,63
77,1450,256,5.33,3_Hz_hig_139345,s3,3,h,139345,24,8,1.0,33
123,811,256,3.0,6_Hz_low_235366,s3,6,l,235366,18,9,3.0,61
65,1451,256,5.33,3_Hz_mid_58188,s3,3,m,58188,20,8,1.2000000000000002,32
291,427,256,1.56,9_Hz_hig_17569,s3,9,h,17569,21,7,3.0,93
94,1792,256,6.67,3_Hz_hig_65558,s3,3,h,65558,30,10,1.0,33
155,896,256,3.33,6_Hz_mid_217765,s3,6,m,217765,25,10,2.4000000000000004,62
138,725,256,2.67,6_Hz_low_9409,s3,6,l,9409,16,8,3.0,61
72,1451,256,5.33,3_Hz_hig_116796,s3,3,h,116796,24,8,1.0,33
285,427,256,1.56,9_Hz_hig_131912,s3,9,h,131912,21,7,3.0,93
295,541,256,2.0,9_Hz_hig_229749,s3,9,h,229749,27,9,3.0,93
91,1450,256,5.33,3_Hz_hig_297036,s3,3,h,297036,24,8,1.0,33
14,1792,256,6.67,3_Hz_low_195033,s3,3,l,195033,20,10,1.5,31
186,640,256,2.33,6_Hz_hig_17569,s3,6,h,17569,21,7,2.0,63
191,640,256,2.33,6_Hz_hig_264601,s3,6,h,264601,21,7,2.0,63
187,725,256,2.67,6_Hz_hig_194717,s3,6,h,194717,24,8,2.0,63
281,483,256,1.78,9_Hz_hig_114844,s3,9,h,114844,24,8,3.0,93
196,726,256,2.67,6_Hz_hig_297036,s3,6,h,297036,24,8,2.0,63
227,484,256,1.78,9_Hz_low_225690,s3,9,l,225690,16,8,4.5,91
152,726,256,2.67,6_Hz_mid_190734,s3,6,m,190734,20,8,2.4000000000000004,62
273,597,256,2.22,9_Hz_mid_43929,s3,9,m,43929,25,10,3.6,92
59,1451,256,5.33,3_Hz_mid_288013,s3,3,m,288013,20,8,1.2000000000000002,32
278,484,256,1.78,9_Hz_mid_83018,s3,9,m,83018,20,8,3.6,92
276,597,256,2.22,9_Hz_mid_72322,s3,9,m,72322,25,10,3.6,92
208,725,256,2.67,6_Hz_hig_92571,s3,6,h,92571,24,8,2.0,63
85,1621,256,6.0,3_Hz_hig_229749,s3,3,h,229749,27,9,1.0,33
38,1451,256,5.33,3_Hz_mid_12774,s3,3,m,12774,20,8,1.2000000000000002,32
294,540,256,2.0,9_Hz_hig_224367,s3,9,h,224367,27,9,3.0,93
242,540,256,2.0,9_Hz_low_93761,s3,9,l,93761,18,9,4.5,91
298,540,256,2.0,9_Hz_hig_269897,s3,9,h,269897,27,9,3.0,93
299,427,256,1.56,9_Hz_hig_270181,s3,9,h,270181,21,7,3.0,93
231,541,256,2.0,9_Hz_low_264338,s3,9,l,264338,18,9,4.5,91
215,484,256,1.78,9_Hz_low_148782,s3,9,l,148782,16,8,4.5,91
218,483,256,1.78,9_Hz_low_17029,s3,9,l,17029,16,8,4.5,91
114,896,256,3.33,6_Hz_low_174545,s3,6,l,174545,20,10,3.0,61
29,1792,256,6.67,3_Hz_low_50866,s3,3,l,50866,20,10,1.5,31
73,1622,256,6.0,3_Hz_hig_12644,s3,3,h,12644,27,9,1.0,33
232,541,256,2.0,9_Hz_low_266112,s3,9,l,266112,18,9,4.5,91
293,597,256,2.22,9_Hz_hig_204987,s3,9,h,204987,30,10,3.0,93
120,981,256,3.67,6_Hz_low_210470,s3,6,l,210470,22,11,3.0,61
307,427,256,1.56,9_Hz_hig_68926,s3,9,h,68926,21,7,3.0,93
86,1280,256,4.67,3_Hz_hig_264601,s3,3,h,264601,21,7,1.0,33
66,1792,256,6.67,3_Hz_mid_72322,s3,3,m,72322,25,10,1.2000000000000002,32
99,1451,256,5.33,3_Hz_hig_74139,s3,3,h,74139,24,8,1.0,33
7,1451,256,5.33,3_Hz_low_158330,s3,3,l,158330,16,8,1.5,31
200,810,256,3.0,6_Hz_hig_66396,s3,6,h,66396,27,9,2.0,63
161,726,256,2.67,6_Hz_mid_269948,s3,6,m,269948,20,8,2.4000000000000004,62
225,654,256,2.44,9_Hz_low_210470,s3,9,l,210470,22,11,4.5,91
16,1280,256,4.67,3_Hz_low_212756,s3,3,l,212756,14,7,1.5,31
31,1962,256,7.33,3_Hz_low_84652,s3,3,l,84652,22,11,1.5,31
27,1622,256,6.0,3_Hz_low_294118,s3,3,l,294118,18,9,1.5,31
128,896,256,3.33,6_Hz_low_270156,s3,6,l,270156,20,10,3.0,61
57,1791,256,6.66,3_Hz_mid_277953,s3,3,m,277953,25,10,1.2000000000000002,32
93,1450,256,5.33,3_Hz_hig_43190,s3,3,h,43190,24,8,1.0,33
145,725,256,2.67,6_Hz_mid_135509,s3,6,m,135509,20,8,2.4000000000000004,62
288,484,256,1.78,9_Hz_hig_141919,s3,9,h,141919,24,8,3.0,93
206,640,256,2.33,6_Hz_hig_7634,s3,6,h,7634,21,7,2.0,63
245,484,256,1.78,9_Hz_mid_105349,s3,9,m,105349,20,8,3.6,92
135,896,256,3.34,6_Hz_low_74921,s3,6,l,74921,20,10,3.0,61
28,1622,256,6.0,3_Hz_low_34961,s3,3,l,34961,18,9,1.5,31
25,1451,256,5.33,3_Hz_low_283051,s3,3,l,283051,16,8,1.5,31
81,1280,256,4.67,3_Hz_hig_17569,s3,3,h,17569,21,7,1.0,33
160,726,256,2.67,6_Hz_mid_26733,s3,6,m,26733,20,8,2.4000000000000004,62
197,725,256,2.67,6_Hz_hig_33633,s3,6,h,33633,24,8,2.0,63
10,1621,256,6.0,3_Hz_low_179789,s3,3,l,179789,18,9,1.5,31
260,598,256,2.22,9_Hz_mid_217765,s3,9,m,217765,25,10,3.6,92
151,725,256,2.67,6_Hz_mid_180819,s3,6,m,180819,20,8,2.4000000000000004,62
266,483,256,1.78,9_Hz_mid_269948,s3,9,m,269948,20,8,3.6,92
296,427,256,1.56,9_Hz_hig_264601,s3,9,h,264601,21,7,3.0,93
70,1450,256,5.33,3_Hz_hig_103682,s3,3,h,103682,24,8,1.0,33
104,1451,256,5.33,3_Hz_hig_94875,s3,3,h,94875,24,8,1.0,33
36,1792,256,6.67,3_Hz_mid_119428,s3,3,m,119428,25,10,1.2000000000000002,32
46,1451,256,5.33,3_Hz_mid_180819,s3,3,m,180819,20,8,1.2000000000000002,32
3,1451,256,5.33,3_Hz_low_126255,s3,3,l,126255,16,8,1.5,31
1,1622,256,6.0,3_Hz_low_108669,s3,3,l,108669,18,9,1.5,31
179,725,256,2.67,6_Hz_hig_127372,s3,6,h,127372,24,8,2.0,63
106,811,256,3.0,6_Hz_low_108669,s3,6,l,108669,18,9,3.0,61
290,427,256,1.56,9_Hz_hig_170578,s3,9,h,170578,21,7,3.0,93
189,811,256,3.0,6_Hz_hig_224367,s3,6,h,224367,27,9,2.0,63
144,725,256,2.67,6_Hz_mid_133074,s3,6,m,133074,20,8,2.4000000000000004,62
213,483,256,1.78,9_Hz_low_126255,s3,9,l,126255,16,8,4.5,91
156,726,256,2.67,6_Hz_mid_227135,s3,6,m,227135,20,8,2.4000000000000004,62
233,598,256,2.22,9_Hz_low_270156,s3,9,l,270156,20,10,4.5,91
13,1792,256,6.67,3_Hz_low_19298,s3,3,l,19298,20,10,1.5,31
279,597,256,2.22,9_Hz_mid_83266,s3,9,m,83266,25,10,3.6,92
45,1792,256,6.67,3_Hz_mid_174183,s3,3,m,174183,25,10,1.2000000000000002,32
269,483,256,1.78,9_Hz_mid_288013,s3,9,m,288013,20,8,3.6,92
11,1622,256,6.0,3_Hz_low_183805,s3,3,l,183805,18,9,1.5,31
