amplitude,electrode,suj,peaks,signal_type
0.0163701735087722,p04_A'_11_12,p04,first_peak,HFa
0.019526322477669,p04_B'_3_4,p04,first_peak,HFa
0.0124723438901719,p04_B'_4_5,p04,first_peak,HFa
0.0154850681349083,p04_B'_5_6,p04,first_peak,HFa
0.0179285804166112,p04_B'_8_9,p04,first_peak,HFa
0.0174925074935504,p04_B'_9_10,p04,first_peak,HFa
0.017633967908744,p04_B'_10_11,p04,first_peak,HFa
0.0107713021461023,p04_C'_1_2,p04,first_peak,HFa
0.0158218460755469,p04_C'_4_5,p04,first_peak,HFa
0.0148818833084116,p04_C'_5_6,p04,first_peak,HFa
0.0186513419455013,p04_C'_11_12,p04,first_peak,HFa
0.0142882561567422,p04_C'_12_13,p04,first_peak,HFa
0.0206449690716697,p04_FCA'_6_7,p04,first_peak,HFa
0.0178625948538388,p04_FCA'_9_10,p04,first_peak,HFa
0.0239618946353105,p04_FCA'_10_11,p04,first_peak,HFa
0.0155290909402163,p04_FCA'_11_12,p04,first_peak,HFa
0.0219040927515692,p04_FCA'_12_13,p04,first_peak,HFa
0.0194678857153896,p04_GPH'_1_2,p04,first_peak,HFa
0.0175093343317936,p04_GPH'_2_3,p04,first_peak,HFa
0.0138251398756507,p04_GPH'_10_11,p04,first_peak,HFa
0.0337892120236755,p04_H_7_8,p04,first_peak,HFa
0.0402045303399847,p04_H_8_9,p04,first_peak,HFa
0.0522228118812881,p04_H_9_10,p04,first_peak,HFa
0.0316218131271566,p04_H_10_11,p04,first_peak,HFa
0.0352681677920694,p04_H_11_12,p04,first_peak,HFa
0.0321509497668644,p04_H_12_13,p04,first_peak,HFa
0.0132579246661228,p04_H_13_14,p04,first_peak,HFa
0.0151995239927785,p04_H_14_15,p04,first_peak,HFa
0.0364473419360202,p04_H'_5_6,p04,first_peak,HFa
0.0413478392467712,p04_H'_6_7,p04,first_peak,HFa
0.0340744032661154,p04_H'_7_8,p04,first_peak,HFa
0.0321682559352432,p04_H'_8_9,p04,first_peak,HFa
0.0295666485726147,p04_H'_9_10,p04,first_peak,HFa
0.0331056078225032,p04_H'_10_11,p04,first_peak,HFa
0.0209167741175739,p04_H'_11_12,p04,first_peak,HFa
0.0199345153045158,p04_H'_12_13,p04,first_peak,HFa
0.0158085364380075,p04_Hetb'_1_2,p04,first_peak,HFa
0.0211062102251862,p04_Hetp_14_15,p04,first_peak,HFa
0.0152165271323021,p04_OT_2_3,p04,first_peak,HFa
0.017202229905404,p04_OT_3_4,p04,first_peak,HFa
0.0147830896922025,p04_OT'_1_2,p04,first_peak,HFa
0.0169054219021264,p04_OT'_3_4,p04,first_peak,HFa
0.0157320592103774,p04_OT'_4_5,p04,first_peak,HFa
0.017912661387545,p04_PFG'_5_6,p04,first_peak,HFa
0.0171567115663392,p04_PFG'_6_7,p04,first_peak,HFa
0.0233588680367859,p04_PFG'_7_8,p04,first_peak,HFa
0.0209338890561452,p04_PFG'_8_9,p04,first_peak,HFa
0.0281083985262079,p04_PFG'_9_10,p04,first_peak,HFa
0.0271967472233235,p04_PFG'_10_11,p04,first_peak,HFa
0.0166814823179927,p04_PFG'_11_12,p04,first_peak,HFa
0.0138102867570683,p05_H_5_6,p05,first_peak,HFa
0.0165497559605982,p05_H_6_7,p05,first_peak,HFa
0.0159791174294819,p05_H_7_8,p05,first_peak,HFa
0.0285494008648536,p05_H_8_9,p05,first_peak,HFa
0.027035634524204,p05_H_9_10,p05,first_peak,HFa
0.0360851283619688,p05_H_10_11,p05,first_peak,HFa
0.040118873471733,p05_H_11_12,p05,first_peak,HFa
0.0145488840573428,p05_H'_5_6,p05,first_peak,HFa
0.0537396710251345,p05_H'_6_7,p05,first_peak,HFa
0.0545983811082158,p05_H'_7_8,p05,first_peak,HFa
0.056791834688113,p05_H'_8_9,p05,first_peak,HFa
0.0417522543800935,p05_H'_9_10,p05,first_peak,HFa
0.0299800554316544,p05_H'_10_11,p05,first_peak,HFa
0.0204237904648744,p05_H'_11_12,p05,first_peak,HFa
0.0304792119703154,p05_H'_12_13,p05,first_peak,HFa
0.0158821464660077,p05_OF'_7_8,p05,first_peak,HFa
0.0146637833621021,p05_T'_2_3,p05,first_peak,HFa
0.0158264516287673,p05_TB'_1_2,p05,first_peak,HFa
0.0148039330404274,p06_A'_1_2,p06,first_peak,HFa
